OrderID,Item,Algo,WaitTime,TurnaroundTime
1,機械臂將小份雞塊籃沉入 180度油鍋,fcfs_logic,0,5.07
2,機械臂將小份雞塊籃沉入 180度油鍋,fcfs_logic,0,5.53
3,機械臂將小份雞塊籃沉入 180度油鍋,fcfs_logic,0,5.55
6,智能雙面煎烤台自動下放單片牛肉排並高溫壓煎,fcfs_logic,0,2.03
4,智能雙面煎烤台自動下放兩片牛肉排並高溫壓煎,fcfs_logic,0,5.07
7,智能雙面煎烤台自動下放牛肉排並高溫壓煎,fcfs_logic,0,5.09
6,旋風蒸氣烤箱加熱雙層漢堡麵包,fcfs_logic,2.11,5.11
5,機械臂精準秤重薯條並投入高溫油炸機,fcfs_logic,0,8.16
4,旋風蒸氣烤箱同步加熱三層漢堡麵包,fcfs_logic,5.18,8.18
7,旋風蒸氣烤箱加熱漢堡麵包,fcfs_logic,5.19,8.19
8,機械臂將雞塊籃沉入 180度油鍋,fcfs_logic,0,8.09
9,機械臂將雞塊籃沉入 180度油鍋,fcfs_logic,0,8.13
10,機械臂將雞塊籃沉入 180度油鍋,fcfs_logic,0,8.08
11,機械臂將雞塊籃沉入 180度油鍋,fcfs_logic,0,8.09
12,智能雙面煎烤台自動下放單片牛肉排並高溫壓煎,fcfs_logic,0,2.02
13,智能雙面煎烤台自動下放兩片牛肉排並高溫壓煎,fcfs_logic,0,5.09
12,旋風蒸氣烤箱加熱雙層漢堡麵包,fcfs_logic,2.12,5.12
14,機械臂精準秤重薯條並投入高溫油炸機,fcfs_logic,0,8.15
13,旋風蒸氣烤箱同步加熱三層漢堡麵包,fcfs_logic,5.17,8.17
